"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","It is important to recognize that recovery can bring moments of increased difficulty, and your lapse risk is currently high and rising. These shifts are a natural part of the process, and they do not define your progress or potential. Facing challenges in recovery is something many experience, and it’s a sign that your journey is meaningful and worth navigating."
"2","high","decreasing","0.7","formal","Legitimizing","It is important to recognize that challenges are a natural part of the recovery process, and your experience is valid. Your lapse risk is currently high and decreasing, which reflects the positive progress you are making even in the face of difficulty. Recovery often involves moments like this, and it does not diminish the work you have done or the steps you are taking. Each day is an opportunity to keep moving forward at your own pace."
"3","low","increasing","0.7","formal","Legitimizing","It is completely normal for recovery to include times when challenges feel more noticeable, and it’s important to recognize that this is a natural part of the process. Your lapse risk is currently low and increasing, which is a reminder that recovery journeys can ebb and flow over time. These shifts do not define your progress, and facing them shows your dedication to building a healthier future."
"4","low","decreasing","0.7","formal","Legitimizing","It is entirely normal to face challenges and moments of uncertainty during recovery, as this process involves navigating complex and deeply personal experiences. Your lapse risk is low and decreasing, which reflects the progress you are making. This does not mean recovery is without its difficult moments, but it shows your efforts are having a meaningful impact. Each step forward is a testament to your resilience and commitment to this journey."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high and increasing, which can feel challenging to navigate. This is a time to approach yourself with care and compassion, recognizing that recovery is not always a straight path. It’s important to know that you are not alone in this process—support is available to help you through this moment. This app is here to stand with you and offer tools to help you stay connected to your recovery goals."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high, though it is moving in a positive direction as it decreases. This is a challenging moment, and it’s important to recognize the strength it takes to keep moving forward. Recovery is not a straight path, and you are not alone on this journey. Please know that support is always available to help you navigate this time with care and understanding."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low, though it has been increasing recently. This is a time to be extra kind to yourself and acknowledge the hard work you've already put into your recovery. Remember, each step forward matters, and this app is here to support you with care and understanding as you continue on this path. You are not alone in this journey."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is low and continuing to decrease, which reflects the progress you are making in your recovery. This is a meaningful step forward, and it shows the strength and dedication you are bringing to this journey. Please know that support is here for you every step of the way, offering guidance and care as you continue building on this positive momentum."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and increasing, but it’s important to remember the strengths you’ve already shown in your recovery journey. You have the ability to engage with the tools and resources available to you, which can help you navigate this challenging time. By continuing to build on your past successes, you are capable of making meaningful progress. Trust in your resilience and the steps you’ve taken so far to move forward with confidence."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and decreasing, which shows a positive shift in your recovery journey. This progress reflects your ability to engage with the tools and support available to you, demonstrating your strength and commitment. By continuing to build on your past successes and using the app’s features, you are showing that you have the resilience and capability to navigate challenges effectively."
"3","low","increasing","0.7","formal","Self-Efficacy","Your lapse risk is low and increasing, which means this is a good time to focus on the strengths that have carried you this far in recovery. You have shown resilience and the ability to navigate challenges, and these qualities can continue to support you as you engage with the tools and resources available. By building on your successes and staying connected to the strategies that work for you, you are well-equipped to maintain your progress."
"4","low","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently low and continuing to decrease, which reflects the hard work and commitment you’ve shown in your recovery. This progress demonstrates your ability to use the tools and resources available to you effectively. You have proven that you can navigate challenges and build on your successes, and these strengths will continue to support you as you move forward."
"1","high","increasing","0.7","formal","Acknowledging","Your lapse risk is currently high and increasing, which may be stirring up a range of emotions for you. It’s understandable if this brings feelings of uncertainty or discomfort, as navigating challenges in recovery can sometimes feel overwhelming. This moment might offer an opportunity to reflect on what could be influencing these shifts and how they resonate with you personally. Whatever you may be feeling, it’s important to honor those emotions and allow yourself the space to explore them fully."
"2","high","decreasing","0.7","formal","Acknowledging","It seems that your lapse risk is high right now, though it is starting to decrease. This shift may reflect the effort and resilience you’ve been putting into your recovery journey, even during challenging times. It’s understandable if this mix of progress and remaining risk brings up a range of emotions—perhaps relief, determination, or even some lingering concern. Whatever you’re feeling is valid, and it may be helpful to take a moment to acknowledge and explore those emotions as part of your growth."
"3","low","increasing","0.7","formal","Acknowledging","Your lapse risk is low and increasing, which may bring up a mix of emotions for you. It’s understandable if you’re feeling confident in your progress while also noticing subtle changes that could feel uncertain or concerning. These shifts can be an opportunity to reflect on how you’re feeling and what might be influencing your journey right now. Taking time to explore these emotions with curiosity and compassion could help you stay connected to what matters most in your recovery."
"4","low","decreasing","0.7","formal","Acknowledging","Your current lapse risk is low and continuing to decrease, which may offer a sense of stability and reassurance in your recovery journey. This shift could reflect the efforts and resilience you've shown, and perhaps even bring a feeling of empowerment as you move forward. It might be worthwhile to consider how this progress aligns with your emotional experiences recently and what it means for you personally. Taking time to reflect on these changes could deepen your connection to the positive momentum you’ve built."
"1","high","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and increasing. This may be a good moment to reflect on the deeper priorities that guide your life, such as your health, relationships, or personal goals. Every step you take in recovery strengthens your ability to honor these values and build the life you want. Engaging with the tools in this app can help you stay connected to what matters most and reinforce the progress you’ve made so far."
"2","high","decreasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and decreasing, which shows progress in your recovery journey. This positive trend reflects your commitment to aligning your actions with the values that matter most to you, such as your health, relationships, or personal growth. Engaging with the app supports these priorities by helping you stay on track and focused on your goals. Continuing to nurture what’s most important to you will further strengthen your sense of purpose and the meaningful life you are building."
"3","low","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently low and increasing, which serves as an important reminder to stay connected with what matters most to you. By focusing on your priorities—whether that is your health, your family, or your personal growth—each step in your recovery strengthens your ability to live in alignment with those values. Engaging with the app is one way to continue supporting your deeper goals and maintaining the progress you’ve worked so hard to achieve."
"4","low","decreasing","0.7","formal","Value Affirmation","Your lapse risk is currently low and continuing to decrease, which reflects the positive steps you are taking in your recovery journey. This progress supports the deeper priorities in your life, such as your health, relationships, and overall well-being. By staying engaged and committed to your growth, you are reinforcing the foundations that allow you to thrive in the areas that matter most to you. Your dedication is a meaningful investment in the life you are working to build."
"1","high","increasing","0.7","formal","Norms","Your lapse risk is high and increasing, but it’s important to know that others with similar challenges have faced this too and found ways to move forward. Many individuals in comparable situations have successfully used this app to manage cravings and reduce stress, even during difficult times. You are not alone in this, and your journey is shared by others who have also felt encouraged and made progress along the way. Together, these small steps have helped build resilience and create meaningful change."
"2","high","decreasing","0.7","formal","Norms","Your lapse risk is currently high and decreasing, which reflects positive movement in your recovery journey. Many individuals with similar experiences have faced moments like this but have successfully used tools and strategies to reduce cravings and manage stress. You are not alone in this process, as others have found encouragement and steady progress by staying engaged with their recovery resources. This shared path shows that challenges can be met with resilience and determination."
"3","low","increasing","0.7","formal","Norms","Your lapse risk is low and increasing. Many individuals who share similar experiences have faced moments like this, but they have successfully managed their cravings and stress by staying engaged with their recovery tools. You are not alone in this journey, as others in your position have found encouragement and made meaningful progress. Together, through perseverance and support, lasting change is possible."
"4","low","decreasing","0.7","formal","Norms","Your lapse risk is low and decreasing, which reflects the steady progress you are making. Many individuals with similar experiences have found that using this app has been an effective way to reduce cravings and manage stress, even during challenging times. You are part of a community of people who understand this journey, and like you, they have seen positive changes over time. This shared progress is a reminder that you are not alone and that meaningful growth is possible."
"1","high","increasing","0.7","informal","Legitimizing","Recovery can be tough sometimes, and it’s completely normal to face challenges like the ones you’re experiencing now. Your lapse risk is high and increasing, but that doesn’t mean you’re failing or doing anything wrong. These moments are a real part of the process, and moving through them is how growth happens. You’re not alone in this, and it’s okay to give yourself grace as you keep moving forward."
"2","high","decreasing","0.7","informal","Legitimizing","It’s totally normal to hit bumps in the road during recovery, and where you’re at right now is part of the process. Your lapse risk is high and decreasing, which means you're actively moving in the right direction. Recovery isn’t a straight path, and the fact that your risk is going down shows the strength and effort you're putting in. Keep leaning into the work—it’s making a difference."
"3","low","increasing","0.7","informal","Legitimizing","It’s totally normal for recovery to have its ups and downs, so don’t be hard on yourself if things feel a little trickier right now. Your lapse risk is low and increasing, which just means it’s a moment to be mindful of how far you’ve come. Everyone faces challenges on this path, and it doesn’t take away from the progress you’re making. What matters most is showing up for yourself, just like you’ve been doing."
"4","low","decreasing","0.7","informal","Legitimizing","It’s totally normal to face ups and downs during recovery, and it doesn’t mean you’re doing anything wrong. Your lapse risk is low and getting even lower, which shows the progress you’ve been making. Recovery is a process, and feeling challenged sometimes is just part of how it works. What matters is that you’re staying on track and moving forward."
"1","high","increasing","0.7","informal","Caring/Supportive","Your lapse risk is high right now and seems to be increasing, but that doesn’t define your progress or how far you’ve come. Recovery can feel tough at times, and it’s okay to have moments when things get harder. This app is here to support you through it all, offering tools and encouragement to keep you moving forward. You’re not alone in this, and every step you take matters."
"2","high","decreasing","0.7","informal","Caring/Supportive","Your lapse risk is high right now, but it's moving in the right direction and starting to come down. This shows the effort you're putting into your recovery is making a difference, even when things feel tough. Remember, it’s okay to have hard days, and you don’t have to go through this alone—this app is here to support you every step of the way. Keep focusing on what’s important to you, and take things one moment at a time."
"3","low","increasing","0.7","informal","Caring/Supportive","Your lapse risk is low right now but starting to increase, and that’s something worth paying attention to. Recovery can have its ups and downs, and it’s okay to need a little extra support along the way. This app is here to back you up and help you stay steady, no matter where you are in your journey. You’re not alone in this, and every step forward is worth celebrating."
"4","low","decreasing","0.7","informal","Caring/Supportive","Your lapse risk is low and heading in the right direction, which shows the work you're putting in is paying off. Recovery has its ups and downs, but you're staying steady on your path. This app is here to back you up, offering support whenever you need it. You're not alone in this journey, and every positive step matters."
"1","high","increasing","0.7","informal","Self-Efficacy","Your lapse risk is high and has been increasing, but you’ve got what it takes to handle this. You’ve already shown strength by sticking with the app and taking steps toward your recovery. Every challenge you’ve faced so far has built up your ability to keep pushing forward, even when it feels tough. Trust in what you’ve already accomplished and keep leaning into the tools that are supporting you."
"2","high","decreasing","0.7","informal","Self-Efficacy","Your lapse risk is high and decreasing, which means you're making progress and heading in the right direction. You’ve got the tools and the strength to keep this momentum going—your hard work is paying off. Stick with what’s been working, and trust yourself to handle whatever comes your way. You've already proven you have what it takes to keep moving forward."
"3","low","increasing","0.7","informal","Self-Efficacy","Your lapse risk is low and increasing, but you've got the tools and the strength to handle this. You've been showing that you can stick with the process, and that says a lot about your commitment and ability to navigate challenges. Keep building on the progress you've made—you’ve already proven you have what it takes to keep moving forward."
"4","low","decreasing","0.7","informal","Self-Efficacy","Your lapse risk is low and continuing to drop, which shows how much strength and focus you’re putting into this journey. You’ve been using the tools here like a pro, and it’s paying off in a big way. Keep leaning on what’s been working for you—you’ve got what it takes to handle challenges and keep building on the progress you’ve made."
"1","high","increasing","0.7","informal","Acknowledging","It seems like things might be feeling a bit heavier right now, and your lapse risk is high and increasing. That could bring up some frustration, worry, or even a sense of being stuck, which makes so much sense given the pressures recovery can bring. It’s okay to sit with those feelings and just notice what’s coming up for you. This moment doesn’t define your journey, but it might be worth reflecting on what’s been weighing on you lately and how it’s been showing up."
"2","high","decreasing","0.7","informal","Acknowledging","It seems like you’ve been navigating a space where your risk of a lapse has been high, but the fact that it’s starting to come down is a big shift. That might bring up a mix of feelings—maybe some relief, maybe a little uncertainty about what’s next. However you're feeling right now is valid, and it’s worth taking a moment to notice what’s helped you get here. This could be a chance to honor the work you’re doing and to keep exploring what’s been supporting you along the way."
